employee_id,department,location,job_level,employment_type,hiring_source,education,age,hire_date,exit_date,employment_status,exit_reason,time_to_hire_days,monthly_salary,commute_km,monthly_overtime_hours,engagement_score,performance_rating
EMP-0001,Finance,Jakarta,Staff,Permanent,Job Portal,D3,25,2025-11-14,,Active,,26,6600000,15.2,26.5,1.7000000000000002,Meets Expectations
EMP-0002,Operations,Jakarta,Staff,Permanent,LinkedIn,S1,28,2024-11-02,2025-02-25,Exited,Compensation,25,7500000,23.0,3.5,3.6,Needs Improvement
EMP-0003,Operations,Jakarta,Staff,Permanent,Referral,S1,20,2024-01-14,,Active,,6,6800000,12.6,15.4,3.2,Meets Expectations
EMP-0004,Sales,Jakarta,Senior Staff,Contract,LinkedIn,S1,30,2025-02-15,,Active,,20,11300000,16.1,24.4,3.3000000000000003,Meets Expectations
EMP-0005,Sales,Jakarta,Staff,Contract,Job Portal,S1,30,2025-08-17,2025-10-31,Exited,Workload,28,6000000,13.4,20.4,4.0,Meets Expectations
EMP-0006,Human Resources,Jakarta,Supervisor,Permanent,LinkedIn,S1,35,2025-12-11,,Active,,20,10700000,1.6,9.4,2.1,Meets Expectations
EMP-0007,Finance,Jakarta,Senior Staff,Contract,Agency,S1,35,2025-04-13,,Active,,31,14600000,12.7,15.8,4.3,Meets Expectations
EMP-0008,Sales,Jakarta,Staff,Permanent,Job Portal,S1,32,2025-03-29,,Active,,12,9800000,19.2,12.6,3.0,Meets Expectations
EMP-0009,Sales,Jakarta,Staff,Permanent,LinkedIn,S1,27,2024-05-19,,Active,,31,9500000,16.3,22.0,3.0,Exceeds Expectations
EMP-0010,Marketing,Jakarta,Manager,Permanent,Job Portal,S1,29,2024-02-27,,Active,,23,11700000,30.1,9.8,3.1,Meets Expectations
EMP-0011,Operations,Jakarta,Manager,Permanent,LinkedIn,S2,30,2025-12-06,,Active,,14,17000000,12.6,17.6,2.9,Needs Improvement
EMP-0012,Marketing,Jakarta,Staff,Permanent,LinkedIn,S1,24,2024-12-10,2025-03-05,Exited,Career Growth,21,13100000,6.0,0,3.5,Meets Expectations
EMP-0013,Operations,Jakarta,Manager,Permanent,Agency,S1,28,2025-04-01,,Active,,23,11300000,17.5,15.8,3.8,Meets Expectations
EMP-0014,Customer Service,Bandung,Staff,Contract,LinkedIn,S1,33,2025-02-11,2025-11-14,Exited,Better Opportunity,23,5200000,13.1,23.4,3.0,Exceeds Expectations
EMP-0015,Customer Service,Jakarta,Staff,Permanent,Campus Hiring,S1,40,2024-11-30,2025-10-16,Exited,Better Opportunity,19,7300000,11.1,17.5,2.9,Exceeds Expectations
EMP-0016,IT & Data,Jakarta,Staff,Permanent,LinkedIn,S2,33,2024-09-12,2025-07-02,Exited,Personal Reason,26,8900000,15.7,15.6,3.4,Exceeds Expectations
EMP-0017,Customer Service,Jakarta,Staff,Contract,Job Portal,S1,32,2025-01-17,2025-09-04,Exited,Compensation,18,6400000,23.2,27.4,3.6999999999999997,Exceeds Expectations
EMP-0018,Sales,Bogor,Senior Staff,Permanent,Job Portal,S1,35,2024-05-16,,Active,,26,9200000,12.1,18.0,3.9,Exceeds Expectations
EMP-0019,Operations,Jakarta,Staff,Permanent,Referral,S1,28,2025-07-30,2025-09-19,Exited,Career Growth,18,5100000,22.3,18.4,3.1,Meets Expectations
EMP-0020,Finance,Jakarta,Staff,Contract,Agency,S1,28,2025-03-18,2025-06-28,Exited,Career Growth,21,9200000,8.7,1.5,3.2,Exceeds Expectations
EMP-0021,IT & Data,Jakarta,Staff,Contract,LinkedIn,S1,28,2025-01-20,,Active,,22,12500000,20.5,17.5,3.8,Meets Expectations
EMP-0022,Customer Service,Bandung,Staff,Permanent,Job Portal,S2,30,2025-05-11,,Active,,27,8300000,12.4,12.7,3.0,Meets Expectations
EMP-0023,IT & Data,Bogor,Staff,Permanent,Campus Hiring,S1,25,2024-10-24,2025-11-15,Exited,Career Growth,35,15600000,1,19.5,4.199999999999999,Meets Expectations
EMP-0024,IT & Data,Surabaya,Staff,Permanent,LinkedIn,S1,30,2025-05-24,2025-12-23,Exited,Career Growth,21,10300000,12.4,17.2,3.8,Exceeds Expectations
EMP-0025,Marketing,Jakarta,Staff,Permanent,Job Portal,S1,20,2024-11-24,,Active,,27,6900000,15.7,5.6,4.5,Meets Expectations
EMP-0026,Sales,Surabaya,Staff,Permanent,Campus Hiring,S1,21,2025-05-24,2025-07-09,Exited,Compensation,19,10900000,4.4,12.8,3.5,Meets Expectations
EMP-0027,Sales,Jakarta,Senior Staff,Permanent,Referral,S1,26,2025-10-16,,Active,,22,9300000,18.7,20.4,4.3,Meets Expectations
EMP-0028,Finance,Jakarta,Staff,Permanent,Internal Mobility,S2,39,2025-07-24,,Active,,6,7500000,15.9,20.3,3.4000000000000004,Needs Improvement
EMP-0029,Operations,Surabaya,Senior Staff,Contract,LinkedIn,S1,36,2025-05-19,,Active,,19,6400000,8.2,13.2,2.9,Meets Expectations
EMP-0030,Sales,Jakarta,Staff,Permanent,Campus Hiring,S1,25,2024-06-29,2025-09-29,Exited,Compensation,25,8200000,16.9,17.5,3.9,Needs Improvement
EMP-0031,Customer Service,Bogor,Staff,Permanent,LinkedIn,S1,32,2024-11-28,2025-09-03,Exited,Compensation,29,7000000,10.5,25.6,3.5,Exceeds Expectations
EMP-0032,Operations,Jakarta,Staff,Contract,Referral,S1,31,2024-03-14,2025-06-13,Exited,Contract End,19,8800000,13.9,1.5,2.6,Meets Expectations
EMP-0033,Operations,Bandung,Staff,Permanent,Job Portal,S1,32,2024-02-10,,Active,,20,5200000,10.4,2.0,4.5,Meets Expectations
EMP-0034,Marketing,Jakarta,Supervisor,Permanent,Referral,S1,26,2025-03-17,,Active,,19,18500000,23.5,16.3,4.2,Exceeds Expectations
EMP-0035,Operations,Jakarta,Senior Staff,Permanent,Job Portal,S1,31,2025-03-16,,Active,,29,7800000,25.3,4.4,4.2,Meets Expectations
EMP-0036,Human Resources,Jakarta,Manager,Permanent,LinkedIn,S1,30,2025-02-23,,Active,,27,19900000,10.2,17.6,3.6,Meets Expectations
EMP-0037,Customer Service,Bandung,Staff,Permanent,Job Portal,S1,31,2024-01-03,,Active,,23,6500000,3.0,10.2,4.2,Meets Expectations
EMP-0038,Sales,Bandung,Staff,Permanent,Referral,S1,20,2025-09-28,,Active,,21,9100000,7.3,10.8,4.4,Meets Expectations
EMP-0039,Customer Service,Bogor,Staff,Permanent,Job Portal,S1,42,2025-07-27,,Active,,31,5300000,1,24.4,3.4,Exceeds Expectations
EMP-0040,Human Resources,Jakarta,Supervisor,Permanent,Campus Hiring,S1,22,2025-05-06,,Active,,40,12500000,14.5,14.0,4.9,Needs Improvement
EMP-0041,Sales,Jakarta,Senior Staff,Permanent,Job Portal,S1,37,2025-01-29,2025-09-01,Exited,Compensation,29,9400000,22.8,20.1,3.1,Exceeds Expectations
EMP-0042,Finance,Jakarta,Staff,Permanent,Internal Mobility,D3,24,2024-12-09,,Active,,12,6700000,14.0,14.0,3.2,Exceeds Expectations
EMP-0043,Finance,Jakarta,Staff,Contract,LinkedIn,S1,33,2024-01-25,,Active,,20,12700000,10.5,15.0,3.7,Meets Expectations
EMP-0044,Operations,Bandung,Staff,Permanent,Referral,S2,26,2025-05-22,2025-08-07,Exited,Better Opportunity,9,5100000,22.2,14.3,4.1,Meets Expectations
EMP-0045,Operations,Surabaya,Senior Staff,Permanent,Job Portal,S1,30,2024-01-29,,Active,,23,10700000,7.8,3.8,2.5,Meets Expectations
EMP-0046,IT & Data,Bandung,Staff,Permanent,LinkedIn,D3,27,2024-03-19,,Active,,20,9200000,1.7,14.5,4.0,Exceeds Expectations
EMP-0047,Human Resources,Bogor,Staff,Contract,Campus Hiring,SMA/SMK,38,2025-02-24,,Active,,29,9500000,17.6,12.9,4.0,Needs Improvement
EMP-0048,Sales,Jakarta,Staff,Contract,Job Portal,S2,35,2025-03-16,,Active,,19,7700000,12.2,15.2,3.3,Meets Expectations
EMP-0049,Marketing,Jakarta,Supervisor,Permanent,Campus Hiring,S1,32,2025-09-07,,Active,,32,13900000,22.0,1.1,3.3,Exceeds Expectations
EMP-0050,Sales,Jakarta,Manager,Permanent,Campus Hiring,S1,21,2025-08-26,,Active,,32,16300000,8.3,17.1,3.5,Meets Expectations
EMP-0051,Marketing,Jakarta,Staff,Permanent,LinkedIn,S1,26,2025-03-27,,Active,,15,10000000,12.3,0,3.7,Meets Expectations
EMP-0052,Finance,Surabaya,Staff,Permanent,Job Portal,S1,26,2024-09-03,,Active,,33,12700000,17.8,8.9,3.5,Meets Expectations
EMP-0053,Operations,Jakarta,Staff,Contract,Job Portal,S1,30,2024-07-22,,Active,,22,5700000,6.1,11.0,3.2,Meets Expectations
EMP-0054,Sales,Bogor,Staff,Permanent,Job Portal,S1,31,2025-05-11,2025-10-07,Exited,Contract End,31,10000000,8.4,19.1,4.6,Meets Expectations
EMP-0055,Sales,Jakarta,Senior Staff,Contract,Job Portal,S1,27,2025-07-09,,Active,,21,7900000,13.6,17.5,3.4,Exceeds Expectations
EMP-0056,Operations,Bandung,Staff,Permanent,Referral,S1,27,2025-08-08,,Active,,13,5100000,8.8,18.9,4.5,Exceeds Expectations
EMP-0057,Operations,Bandung,Staff,Contract,Internal Mobility,S2,34,2025-06-28,2025-11-02,Exited,Better Opportunity,15,6500000,6.8,11.4,4.6000000000000005,Meets Expectations
EMP-0058,Finance,Bandung,Senior Staff,Permanent,LinkedIn,S1,32,2025-01-01,,Active,,31,13200000,13.4,11.9,4.0,Meets Expectations
EMP-0059,Customer Service,Surabaya,Staff,Permanent,Campus Hiring,SMA/SMK,28,2025-01-19,,Active,,31,5700000,16.5,19.3,3.1,Meets Expectations
EMP-0060,IT & Data,Bandung,Staff,Permanent,Internal Mobility,SMA/SMK,32,2025-10-07,2025-12-14,Exited,Workload,15,13800000,12.3,0,3.7,Meets Expectations
EMP-0061,Sales,Jakarta,Staff,Permanent,LinkedIn,S1,26,2025-03-08,,Active,,21,8600000,7.7,23.2,3.5,Meets Expectations
EMP-0062,Sales,Jakarta,Staff,Contract,Job Portal,S1,22,2025-01-10,2025-04-03,Exited,Career Growth,25,9400000,11.0,18.2,2.2,Meets Expectations
EMP-0063,IT & Data,Bogor,Staff,Permanent,LinkedIn,S1,20,2025-12-12,,Active,,21,12700000,15.0,10.8,4.8,Meets Expectations
EMP-0064,IT & Data,Bandung,Senior Staff,Permanent,Job Portal,S2,28,2024-05-14,,Active,,30,17500000,14.0,11.0,3.8,Meets Expectations
EMP-0065,IT & Data,Surabaya,Staff,Permanent,Job Portal,S1,26,2025-06-05,,Active,,18,14900000,14.0,14.5,4.4,Meets Expectations
EMP-0066,Operations,Bogor,Supervisor,Contract,Job Portal,S1,27,2025-10-23,2025-12-28,Exited,Personal Reason,21,8700000,6.5,5.2,4.4,Meets Expectations
EMP-0067,Human Resources,Jakarta,Senior Staff,Permanent,Job Portal,S1,26,2024-06-18,,Active,,28,7800000,9.1,0,3.8,Meets Expectations
EMP-0068,Finance,Surabaya,Senior Staff,Permanent,Job Portal,SMA/SMK,35,2025-03-29,,Active,,30,12200000,10.6,7.8,5,Meets Expectations
EMP-0069,Sales,Bandung,Staff,Permanent,Internal Mobility,S1,20,2025-06-21,,Active,,10,8800000,18.8,21.7,3.5000000000000004,Meets Expectations
EMP-0070,Customer Service,Jakarta,Staff,Contract,Job Portal,D3,28,2025-04-23,2025-09-16,Exited,Better Opportunity,24,5200000,5.8,3.0,3.2,Exceeds Expectations
EMP-0071,Customer Service,Bandung,Supervisor,Permanent,Campus Hiring,S1,30,2024-07-21,,Active,,31,9600000,6.3,9.4,3.2,Exceeds Expectations
EMP-0072,Human Resources,Bandung,Senior Staff,Permanent,Referral,S1,20,2025-11-26,,Active,,14,9300000,9.3,12.6,4.3,Meets Expectations
EMP-0073,Operations,Jakarta,Supervisor,Contract,Referral,D3,31,2024-07-29,,Active,,7,12900000,28.0,8.0,3.6,Meets Expectations
EMP-0074,Customer Service,Jakarta,Staff,Permanent,Referral,S1,29,2024-06-29,,Active,,20,8400000,23.1,18.9,3.6,Meets Expectations
EMP-0075,Sales,Jakarta,Staff,Permanent,Job Portal,S1,27,2024-03-14,,Active,,32,5800000,15.3,17.0,3.5,Exceeds Expectations
EMP-0076,Customer Service,Jakarta,Staff,Permanent,Job Portal,S2,27,2025-01-12,,Active,,20,6600000,24.5,18.7,3.1,Meets Expectations
EMP-0077,Customer Service,Jakarta,Supervisor,Permanent,Job Portal,S1,28,2024-04-23,,Active,,16,12000000,20.2,17.9,3.3,Exceeds Expectations
EMP-0078,Operations,Jakarta,Senior Staff,Permanent,LinkedIn,D3,24,2025-06-15,,Active,,28,6400000,12.2,5.7,4.4,Meets Expectations
EMP-0079,Customer Service,Bogor,Staff,Contract,Referral,D3,25,2025-04-20,,Active,,7,6800000,6.1,20.1,3.4000000000000004,Exceeds Expectations
EMP-0080,Human Resources,Jakarta,Manager,Permanent,Job Portal,S2,37,2024-04-23,,Active,,25,11500000,15.9,10.2,2.0,Exceeds Expectations
EMP-0081,Customer Service,Jakarta,Senior Staff,Contract,Internal Mobility,SMA/SMK,34,2025-02-10,,Active,,5,9100000,14.1,21.9,3.9,Meets Expectations
EMP-0082,Sales,Bogor,Staff,Permanent,LinkedIn,S1,27,2024-05-01,,Active,,25,11100000,12.4,20.8,1.9,Meets Expectations
EMP-0083,Finance,Jakarta,Staff,Permanent,Job Portal,SMA/SMK,28,2024-12-13,,Active,,26,7000000,28.1,3.4,3.0,Meets Expectations
EMP-0084,Marketing,Surabaya,Senior Staff,Contract,Agency,S1,32,2025-05-17,,Active,,13,8700000,12.2,6.8,3.7,Meets Expectations
EMP-0085,Operations,Jakarta,Staff,Contract,LinkedIn,S1,20,2025-01-21,,Active,,16,6800000,22.2,12.9,3.1,Exceeds Expectations
EMP-0086,Operations,Bogor,Staff,Permanent,Campus Hiring,S2,22,2025-08-06,,Active,,29,6900000,10.6,10.3,3.2,Meets Expectations
EMP-0087,Human Resources,Bandung,Senior Staff,Permanent,Job Portal,D3,27,2024-12-14,2025-05-13,Exited,Better Opportunity,28,10800000,13.5,17.6,2.9,Exceeds Expectations
EMP-0088,Marketing,Jakarta,Senior Staff,Permanent,Internal Mobility,S1,27,2025-01-06,,Active,,12,9400000,13.0,0,3.9000000000000004,Meets Expectations
EMP-0089,IT & Data,Bandung,Staff,Contract,Referral,S1,27,2024-10-28,,Active,,24,8800000,15.7,14.0,2.8000000000000003,Meets Expectations
EMP-0090,Sales,Bandung,Staff,Contract,Campus Hiring,S1,26,2025-04-06,,Active,,33,9800000,16.9,18.2,3.2,Meets Expectations
EMP-0091,Customer Service,Jakarta,Staff,Permanent,Job Portal,D3,32,2025-03-16,,Active,,24,5700000,5.0,27.3,2.8000000000000003,Needs Improvement
EMP-0092,Marketing,Jakarta,Staff,Permanent,LinkedIn,S1,23,2024-11-25,,Active,,21,8000000,24.7,6.6,4.2,Meets Expectations
EMP-0093,Customer Service,Bandung,Senior Staff,Permanent,Campus Hiring,S1,22,2024-10-05,,Active,,32,8300000,16.1,20.5,2.8000000000000003,Exceeds Expectations
EMP-0094,Finance,Jakarta,Staff,Permanent,Internal Mobility,D3,32,2024-08-17,,Active,,9,12000000,14.5,8.6,3.5,Meets Expectations
EMP-0095,Marketing,Jakarta,Staff,Contract,Job Portal,S1,29,2025-03-10,,Active,,32,10300000,19.3,3.8,4.2,Exceeds Expectations
EMP-0096,Customer Service,Jakarta,Staff,Contract,Referral,S1,37,2025-11-20,,Active,,8,6300000,19.8,4.4,4.4,Needs Improvement
EMP-0097,IT & Data,Jakarta,Staff,Contract,Job Portal,S1,22,2024-07-10,,Active,,27,17700000,20.8,8.5,4.1,Exceeds Expectations
EMP-0098,Marketing,Bandung,Staff,Permanent,LinkedIn,S1,21,2025-07-13,,Active,,13,11100000,1,21.5,3.5,Meets Expectations
EMP-0099,Operations,Jakarta,Supervisor,Permanent,LinkedIn,S1,31,2025-03-07,,Active,,24,8900000,16.5,18.5,2.8000000000000003,Meets Expectations
EMP-0100,Sales,Bogor,Staff,Permanent,LinkedIn,S1,26,2024-10-06,,Active,,25,10900000,10.8,16.7,4.4,Meets Expectations
EMP-0101,Customer Service,Bandung,Manager,Permanent,Job Portal,SMA/SMK,20,2024-08-15,,Active,,20,10100000,16.2,25.1,3.0,Needs Improvement
EMP-0102,Customer Service,Bandung,Senior Staff,Permanent,Referral,S2,26,2024-12-04,2025-12-16,Exited,Career Growth,18,6600000,18.2,3.4,3.8000000000000003,Meets Expectations
EMP-0103,IT & Data,Surabaya,Staff,Contract,Job Portal,S1,26,2024-02-26,,Active,,35,15100000,16.1,9.0,4.0,Meets Expectations
EMP-0104,Customer Service,Bandung,Staff,Permanent,LinkedIn,S1,40,2025-01-29,,Active,,27,8100000,15.8,18.8,3.8000000000000003,Meets Expectations
EMP-0105,Human Resources,Bogor,Senior Staff,Permanent,Internal Mobility,S1,22,2024-02-13,,Active,,12,8300000,14.7,17.4,4.0,Meets Expectations
EMP-0106,Sales,Jakarta,Staff,Permanent,Campus Hiring,S1,23,2025-10-18,,Active,,30,10500000,13.6,20.7,3.2,Exceeds Expectations
EMP-0107,Marketing,Jakarta,Supervisor,Permanent,Agency,S1,25,2024-03-17,,Active,,18,10400000,9.9,4.8,3.6,Meets Expectations
EMP-0108,Sales,Bandung,Senior Staff,Permanent,Job Portal,S1,31,2024-02-29,,Active,,28,9400000,7.6,10.1,3.2,Meets Expectations
EMP-0109,Customer Service,Jakarta,Staff,Permanent,Referral,S1,20,2025-07-11,,Active,,13,6300000,23.0,20.6,4.2,Meets Expectations
EMP-0110,Customer Service,Jakarta,Senior Staff,Contract,Referral,S2,24,2025-09-22,,Active,,18,8000000,23.0,13.6,5,Meets Expectations
EMP-0111,Marketing,Jakarta,Senior Staff,Contract,Referral,S1,37,2024-02-22,,Active,,10,14500000,24.7,9.1,4.7,Meets Expectations
EMP-0112,Operations,Jakarta,Staff,Permanent,Agency,S1,27,2024-10-16,2025-12-22,Exited,Better Opportunity,20,7200000,10.9,3.8,5,Meets Expectations
EMP-0113,IT & Data,Bogor,Senior Staff,Permanent,Campus Hiring,S1,23,2025-10-04,2025-12-11,Exited,Compensation,36,12800000,23.9,22.4,2.4,Exceeds Expectations
EMP-0114,Sales,Jakarta,Staff,Permanent,Referral,D3,30,2025-06-20,,Active,,15,7100000,14.8,17.1,4.5,Exceeds Expectations
EMP-0115,IT & Data,Jakarta,Senior Staff,Permanent,Job Portal,S1,30,2025-08-17,,Active,,12,11900000,12.6,6.6,3.5,Meets Expectations
EMP-0116,Finance,Surabaya,Staff,Permanent,Referral,S1,20,2025-08-14,,Active,,20,11400000,1,5.2,4.4,Meets Expectations
EMP-0117,Sales,Jakarta,Staff,Permanent,LinkedIn,S1,28,2025-09-05,,Active,,25,9900000,7.0,22.6,2.7,Meets Expectations
EMP-0118,IT & Data,Jakarta,Staff,Contract,Job Portal,S2,24,2024-05-22,,Active,,33,12600000,18.8,6.4,4.7,Exceeds Expectations
EMP-0119,Marketing,Jakarta,Staff,Permanent,LinkedIn,S1,34,2024-09-01,,Active,,19,12100000,1,19.3,4.1,Meets Expectations
EMP-0120,Sales,Jakarta,Staff,Permanent,Referral,D3,30,2024-09-09,,Active,,18,10400000,10.2,15.1,4.4,Meets Expectations
EMP-0121,Operations,Bogor,Staff,Permanent,Referral,S1,22,2024-04-16,,Active,,16,6700000,1,11.7,4.5,Exceeds Expectations
EMP-0122,IT & Data,Bogor,Manager,Permanent,LinkedIn,S2,27,2024-02-29,,Active,,23,19300000,7.8,3.8,3.8,Meets Expectations
EMP-0123,IT & Data,Jakarta,Senior Staff,Contract,LinkedIn,S1,23,2024-12-02,,Active,,25,16900000,12.1,14.9,3.1,Meets Expectations
EMP-0124,Sales,Jakarta,Senior Staff,Permanent,Internal Mobility,S1,32,2024-10-05,,Active,,20,8100000,11.2,20.0,2.4000000000000004,Meets Expectations
EMP-0125,Operations,Jakarta,Staff,Permanent,LinkedIn,S2,20,2024-01-24,,Active,,29,5600000,14.2,17.9,3.9,Meets Expectations
EMP-0126,Finance,Jakarta,Staff,Permanent,Agency,SMA/SMK,27,2025-03-14,2025-09-18,Exited,Career Growth,28,12600000,4.2,17.3,3.2,Meets Expectations
EMP-0127,Operations,Bandung,Staff,Permanent,Job Portal,S1,25,2024-09-06,2025-05-17,Exited,Career Growth,36,8900000,19.6,19.5,3.6999999999999997,Needs Improvement
EMP-0128,Sales,Surabaya,Senior Staff,Contract,Campus Hiring,SMA/SMK,27,2024-06-28,,Active,,26,11200000,9.4,19.6,3.9,Meets Expectations
